model,scenario,n_obs,raw_coverage,cal_coverage,cov_improvement,raw_mean_width,cal_mean_width,width_ratio,kupiec_p_raw,kupiec_p_cal,is_h5_success
chronos-base,market_rolling,600,0.715,0.8166666666666667,0.10166666666666668,5260.157516174316,6038.896425668589,1.1480447889820313,1.0547118733938987e-13,6.62049082222893e-10,False
chronos-base,synth_GARCH_L1,400,0.805,0.8925,0.08749999999999991,10.013049338340757,10.350575866603851,1.033708665248525,1.2931626214296443e-08,0.6208700327877112,True
chronos-base,synth_GARCH_L2,400,0.8425,0.9075,0.050000000000000044,9.78508173084259,10.120771546602247,1.0343062863441972,0.00035831171577793697,0.613036527447381,True
chronos-base,synth_GARCH_L3,400,0.8325,0.8925,0.05999999999999994,10.012093876838685,10.562736285305023,1.0549977272726294,3.370430150906323e-05,0.6208700327877112,True
chronos-base,synth_GARCH_L4,400,0.8575,0.915,0.02749999999999997,9.98170336151123,9.88924471974373,0.9907371879909781,0.0073257563125821434,0.3059308157701611,True
chronos-base,synth_GARCH_L5,400,0.915,0.9375,-0.022499999999999964,10.211823808670044,9.803125340247153,0.9599779161802716,0.3059308157701611,0.00763855774789679,False
chronos-base,synth_REGIME_L1,400,0.865,0.92,0.015000000000000013,13.467120707988737,13.09733838999271,0.9725418427580685,0.025896165007017302,0.16860668457335914,False
chronos-base,synth_REGIME_L2,400,0.77,0.8475,0.07750000000000001,14.382532295703886,15.858825613522528,1.1026448811284517,1.0547118733938987e-13,0.0010524979104459264,False
chronos-base,synth_REGIME_L3,400,0.8325,0.9025,0.06500000000000006,14.158133022546767,14.040961910474298,0.9917241127847948,3.370430150906323e-05,0.8671413019572509,True
chronos-base,synth_REGIME_L4,400,0.7375,0.8925,0.15499999999999992,13.247626965641974,13.739696779716015,1.0371439968343188,1.0547118733938987e-13,0.6208700327877112,True
chronos-base,synth_REGIME_L5,400,0.845,0.9225,0.032500000000000084,16.159183728933332,16.473464863383768,1.0194490724112326,0.0006195463143746638,0.11980803750449875,False
chronos-base,synth_TAIL_L1,400,0.89,0.9175,-0.007499999999999951,10.802839303970336,10.671796346282958,0.9878695818756449,0.5110552814605813,0.230351043968421,True
chronos-base,synth_TAIL_L2,400,0.91,0.94,-0.029999999999999916,10.107310923576353,9.86509148068428,0.9760352239360648,0.49840847706581315,0.0042327351850235395,False
chronos-base,synth_TAIL_L3,400,0.86,0.915,0.025000000000000022,9.421038593292234,9.515131666517256,1.0099875477945728,0.011368557989856032,0.3059308157701611,True
chronos-base,synth_TAIL_L4,400,0.9525,0.955,-0.0024999999999999467,10.645645915031432,9.738470356249808,0.9147843572835058,0.00011257768779215915,4.6847632284907625e-05,False
chronos-base,synth_TAIL_L5,400,0.8025,0.8725,0.07000000000000006,7.731452228069304,9.218277860403061,1.1923087136121446,5.753702625455048e-09,0.07733213435568664,False
chronos-tiny,market_rolling,600,0.6716666666666666,0.7833333333333333,0.11166666666666669,4266.149463269552,5159.020087636058,1.2092919228578116,1.0547118733938987e-13,1.0547118733938987e-13,False
chronos-tiny,market_snap,20,1.0,1.0,0.0,46.90266929626465,40.740909439086906,0.8686266698755146,1.0,1.0,False
chronos-tiny,synth_GARCH_L1,400,0.795,0.8925,0.09749999999999992,9.953193655014037,10.279325340747832,1.032766536755718,4.627837002502133e-10,0.6208700327877112,True
chronos-tiny,synth_GARCH_L2,400,0.815,0.8575,0.04250000000000009,9.73428523159027,9.990302371406553,1.0263005586671574,2.826537492950365e-07,0.0073257563125821434,False
chronos-tiny,synth_GARCH_L3,400,0.8175,0.8775,0.05999999999999994,10.040944592475892,10.28213844194412,1.0240210318109877,5.875744210070977e-07,0.1458523829265026,False
chronos-tiny,synth_GARCH_L4,400,0.8375,0.8825,0.04499999999999993,9.660034074306486,9.575087319898604,0.9912063711417104,0.00011373790838609121,0.2549070641917256,True
chronos-tiny,synth_GARCH_L5,400,0.895,0.905,0.0,10.017494187355041,9.43688196465969,0.942040173736437,0.7407077810193484,0.7369783742663715,True
chronos-tiny,synth_REGIME_L1,400,0.845,0.8925,0.04749999999999999,10.897380434989927,11.548836073124408,1.0597809392836053,0.0006195463143746638,0.6208700327877112,True
chronos-tiny,synth_REGIME_L2,400,0.735,0.7925,0.057499999999999996,11.37623771238327,12.009792482876778,1.0556910629428804,1.0547118733938987e-13,1.9388601835146346e-10,False
chronos-tiny,synth_REGIME_L3,400,0.755,0.8175,0.0625,11.029662879705427,11.631748296558856,1.054587834951988,1.0547118733938987e-13,5.875744210070977e-07,False
chronos-tiny,synth_REGIME_L4,400,0.6525,0.835,0.1825,10.402153597712516,11.517916853058338,1.1072627167888758,1.0547118733938987e-13,6.244464381088832e-05,False
chronos-tiny,synth_REGIME_L5,400,0.7325,0.815,0.0824999999999999,12.788806938886642,14.377325714260337,1.124211647182156,1.0547118733938987e-13,2.826537492950365e-07,False
chronos-tiny,synth_TAIL_L1,400,0.895,0.9275,-0.022499999999999964,10.540647478103638,10.258175781059265,0.9732016749795342,0.7407077810193484,0.055039499052166985,False
chronos-tiny,synth_TAIL_L2,400,0.87,0.9325,-0.0024999999999999467,9.57057616662979,9.545493107891081,0.9973791485170802,0.05472637425713944,0.02207842801821247,False
chronos-tiny,synth_TAIL_L3,400,0.825,0.8975,0.07250000000000001,9.437699331283568,9.683763016986848,1.0260724226388143,4.791933806869153e-06,0.8681129024051089,True
chronos-tiny,synth_TAIL_L4,400,0.925,0.95,-0.02499999999999991,9.20761931800842,9.119007490730286,0.9903762499058986,0.08253223849089197,0.00025633644600409067,False
chronos-tiny,synth_TAIL_L5,400,0.7925,0.85,0.057499999999999996,7.597495161056518,8.188047914886475,1.0777299282607025,1.9388601835146346e-10,0.0017564566506699242,False
garch_t,market_rolling,600,0.7233333333333334,0.845,0.12166666666666659,6703.649968858798,7632.825668400347,1.1386074308560188,1.0547118733938987e-13,2.762729642769024e-05,False
garch_t,market_snap,20,0.9,0.85,-0.050000000000000044,46.35658735986868,42.097957704825184,0.9081332363406407,1.0,0.48419302878615167,False
garch_t,synth_GARCH_L1,400,0.815,0.8825,0.0675,9.793432185615716,9.948147934666117,1.0157979088554514,2.826537492950365e-07,0.2549070641917256,True
garch_t,synth_GARCH_L2,400,0.805,0.8575,0.05249999999999999,9.681081421684812,9.813766657421738,1.0137056212996745,1.2931626214296443e-08,0.0073257563125821434,False
garch_t,synth_GARCH_L3,400,0.845,0.895,0.050000000000000044,9.713888250025244,9.869641545499912,1.0160340835168926,0.0006195463143746638,0.7407077810193484,True
garch_t,synth_GARCH_L4,400,0.855,0.885,0.030000000000000027,9.282083566483747,9.505589752044932,1.0240793119303766,0.004634643169461605,0.3275249907045993,True
garch_t,synth_GARCH_L5,400,0.87,0.9225,0.007500000000000062,10.136826343533391,9.901305111656113,0.9767657821200099,0.05472637425713944,0.11980803750449875,False
garch_t,synth_REGIME_L1,400,0.8775,0.915,0.007500000000000062,11.662080654092179,11.82794236342417,1.014222308544384,0.1458523829265026,0.3059308157701611,True
garch_t,synth_REGIME_L2,400,0.7575,0.8375,0.08000000000000007,14.022001162239148,14.831664865060299,1.0577423788126301,1.0547118733938987e-13,0.00011373790838609121,False
garch_t,synth_REGIME_L3,400,0.8525,0.915,0.03249999999999997,14.639737713569662,14.204272932216158,0.9702546049749328,0.0028791026168326628,0.3059308157701611,True
garch_t,synth_REGIME_L4,400,0.8875,0.9375,-0.02499999999999991,14.350111494173817,13.813270155711221,0.9625897444294733,0.4129674542352938,0.00763855774789679,False
garch_t,synth_REGIME_L5,400,0.85,0.9125,0.03750000000000009,17.137709440690934,17.18585173032247,1.002809143765574,0.0017564566506699242,0.3955123245736305,True
garch_t,synth_TAIL_L1,400,0.8875,0.9,0.012500000000000067,10.723660279010296,10.557151641425117,0.9844727795125054,0.4129674542352938,1.0,True
garch_t,synth_TAIL_L2,400,0.93,0.945,-0.014999999999999902,9.787600091915415,9.347834607791501,0.9550691201117666,0.0354819360672145,0.0011428451501320769,False
garch_t,synth_TAIL_L3,400,0.8175,0.905,0.07750000000000001,9.516133259863707,9.494149756928422,0.9976898702093627,5.875744210070977e-07,0.7369783742663715,True
garch_t,synth_TAIL_L4,400,0.9475,0.9625,-0.015000000000000013,10.50626877923461,10.069923629189018,0.9584681146833006,0.0005545723725970397,2.3658450436503387e-06,False
garch_t,synth_TAIL_L5,400,0.84,0.88,0.040000000000000036,8.029142691642122,8.236357391013637,1.0258078237402872,0.00020363354418417856,0.1946617063671312,False
random_walk,market_rolling,600,0.6183333333333333,0.7366666666666667,0.1183333333333334,3285.111551543018,3908.864644433076,1.1898727282478676,1.0547118733938987e-13,1.0547118733938987e-13,False
random_walk,market_snap,20,1.0,0.95,0.050000000000000044,43.16999306039949,39.59955859084291,0.9172936056635183,1.0,0.4136588922308818,False
random_walk,synth_GARCH_L1,400,0.8075,0.8875,0.07999999999999996,9.751807074084299,10.021858962757403,1.027692497054292,2.8621545911100554e-08,0.4129674542352938,True
random_walk,synth_GARCH_L2,400,0.815,0.8725,0.05750000000000011,9.717356119039296,9.840857675046685,1.0127093784044212,2.826537492950365e-07,0.07733213435568664,False
random_walk,synth_GARCH_L3,400,0.8325,0.8775,0.04499999999999993,9.78221034068346,9.903024395073075,1.0123503840320383,3.370430150906323e-05,0.1458523829265026,False
random_walk,synth_GARCH_L4,400,0.8475,0.8675,0.020000000000000018,9.637608043714641,9.560256652357918,0.9919740052712385,0.0010524979104459264,0.03800227909384701,False
random_walk,synth_GARCH_L5,400,0.8875,0.9325,-0.019999999999999907,10.670527419002713,10.001596410678719,0.937310408187254,0.4129674542352938,0.02207842801821247,False
random_walk,synth_REGIME_L1,400,0.9425,0.955,-0.012499999999999956,18.584952581813035,17.035359707032327,0.9166211015089102,0.0022485359038989516,4.6847632284907625e-05,False
random_walk,synth_REGIME_L2,400,0.8475,0.9225,0.030000000000000027,18.17835157203107,17.77841119847699,0.9779990846821656,0.0010524979104459264,0.11980803750449875,False
random_walk,synth_REGIME_L3,400,0.9825,0.9675,0.015000000000000013,17.61349433655036,16.039852027953785,0.910657006580968,2.498479201307191e-11,2.310717722719957e-07,False
random_walk,synth_REGIME_L4,400,0.9575,0.97,-0.012499999999999956,17.35188395785641,15.823225495616871,0.9119024501343898,1.84160276963663e-05,6.43403901268158e-08,False
random_walk,synth_REGIME_L5,400,0.89,0.9225,-0.012499999999999956,18.899575010396163,18.07760749068963,0.9565086770864217,0.5110552814605813,0.11980803750449875,False
random_walk,synth_TAIL_L1,400,0.8825,0.905,0.012500000000000067,10.29497982061991,10.10138587872133,0.9811953063267955,0.2549070641917256,0.7369783742663715,True
random_walk,synth_TAIL_L2,400,0.925,0.9425,-0.01749999999999996,9.776102437945957,9.442942155058489,0.9659209500921037,0.08253223849089197,0.0022485359038989516,False
random_walk,synth_TAIL_L3,400,0.85,0.9125,0.03750000000000009,9.510959681605009,9.399537100603748,0.9882848224857097,0.0017564566506699242,0.3955123245736305,True
random_walk,synth_TAIL_L4,400,0.93,0.955,-0.02499999999999991,10.074048851099228,9.740300271394828,0.966870462448871,0.0354819360672145,4.6847632284907625e-05,False
random_walk,synth_TAIL_L5,400,0.865,0.8875,0.022499999999999964,9.582980484830948,9.446575809918395,0.9857659446214598,0.025896165007017302,0.4129674542352938,True
