model,scenario,n_steps,mean_crps,mean_rel_crps,cov_90,cov_90_err,cov_50,mean_width_90,mean_rel_width_90,mean_mae,mean_rel_mae,pit_ks_stat,pit_ks_pvalue
chronos-base,market_rolling,600,1535.006804679691,5.074704613347506,0.715,0.18500000000000005,0.335,5260.157516174316,19.346984394209297,2033.8937822116852,6.9794547757813055,0.1599990409902482,6.934830855204896e-14
chronos-base,synth_GARCH_L1,400,2.012140523053713,2.038096512674441,0.805,0.09499999999999997,0.445,10.013049338340757,10.218149397189277,2.7931284994778527,2.8283738687034914,0.06999992263788501,0.037791547664031255
chronos-base,synth_GARCH_L2,400,1.960889182682955,2.0603509226028023,0.8425,0.057499999999999996,0.5125,9.78508173084259,10.170579639946347,2.685496978488061,2.8295823277368455,0.08749948439598476,0.00409788532031062
chronos-base,synth_GARCH_L3,400,1.972737908457399,1.9890610767649826,0.8325,0.0675,0.48,10.012093876838685,10.479614472850445,2.6809139806802067,2.71875461308849,0.09749912632258773,0.0009221596921373639
chronos-base,synth_GARCH_L4,400,1.9102573874072073,1.9220812447237143,0.8575,0.04249999999999998,0.4875,9.98170336151123,10.462220942666258,2.5144648793716415,2.5299045557100124,0.1374991228629503,4.657823082606218e-07
chronos-base,synth_GARCH_L5,400,1.681897928432806,1.5365844010785263,0.915,0.015000000000000013,0.4375,10.211823808670044,9.416416944869855,2.5021529276220322,2.2556617368980554,0.05999905683819051,0.10778110108648598
chronos-base,synth_REGIME_L1,400,2.3782146795320602,3.3802471500781595,0.865,0.03500000000000003,0.5475,13.467120707988737,18.845690881855646,3.1887572357012948,4.642185279796516,0.05999906171079361,0.10778105029001428
chronos-base,synth_REGIME_L2,400,3.3617452664037915,5.587158445664502,0.77,0.13,0.4525,14.382532295703886,21.70861579355354,4.44255562995748,7.342778739460089,0.11999934242535333,1.7774168410751873e-05
chronos-base,synth_REGIME_L3,400,2.53785283281392,3.9469191081877604,0.8325,0.0675,0.395,14.158133022546767,20.930071307326024,3.6583901491781,5.727950997601609,0.20499937132607005,3.2271838290142597e-15
chronos-base,synth_REGIME_L4,400,2.8199141765906477,4.759653567439038,0.7375,0.16249999999999998,0.375,13.247626965641974,21.652495585954338,3.946619848853047,6.603259720542514,0.15249902435064255,1.3768458407234874e-08
chronos-base,synth_REGIME_L5,400,3.219947381713804,4.599459270172044,0.845,0.05500000000000005,0.4775,16.159183728933332,24.4102875946227,4.624769917966766,6.65367849931315,0.0824991752126999,0.008130973423640603
chronos-base,synth_TAIL_L1,400,1.9850237534976527,1.8520949591063443,0.89,0.010000000000000009,0.475,10.802839303970336,10.42781524870751,2.790211712267589,2.5932568906496867,0.18499936471654171,1.8647184104820994e-12
chronos-base,synth_TAIL_L2,400,1.4906790953703004,1.5033469570331,0.91,0.010000000000000009,0.53,10.107310923576353,10.180657628090344,2.1459670378067104,2.178896775829272,0.05749935609329966,0.13656674834982518
chronos-base,synth_TAIL_L3,400,1.8080982452899486,1.843442297904481,0.86,0.040000000000000036,0.415,9.421038593292234,9.752806470810196,2.5921746755953303,2.626329334153387,0.0849991601385025,0.005801670311319032
chronos-base,synth_TAIL_L4,400,1.4893395710171295,1.3738806508265622,0.9525,0.05249999999999999,0.5575,10.645645915031432,9.898883690657128,2.141832492412302,1.9657872025009016,0.0674990122918373,0.04986280831548595
chronos-base,synth_TAIL_L5,400,2.3658634272507437,2.1932265867091276,0.8025,0.09750000000000003,0.3775,7.731452228069304,7.582065993183119,3.234411753981444,3.191283469980763,0.09249944501122809,0.0019836047131019338
chronos-tiny,market_rolling,600,1382.1980864743423,5.115858304103476,0.6716666666666666,0.2283333333333334,0.305,4266.149463269552,17.145698536227737,1717.1979248166401,6.87453513701497,0.18166608001587237,8.444572874088948e-18
chronos-tiny,market_snap,20,9.651176043886128,2.920475714944845,1.0,0.09999999999999998,0.3,46.90266929626465,14.306281264501166,14.64659135437012,4.431256222814873,0.560000531233411,1.939402789344244e-06
chronos-tiny,synth_GARCH_L1,400,2.0587844020030026,2.0687771243722572,0.795,0.10499999999999998,0.4525,9.953193655014037,10.182448221079767,2.8173859025906665,2.8285623706895895,0.09499909623422892,0.0013593766279472795
chronos-tiny,synth_GARCH_L2,400,2.0709981683997523,2.1748970761477495,0.815,0.08500000000000008,0.495,9.73428523159027,10.123642109456252,2.78888739793209,2.9387782188631424,0.07749942034716051,0.015494259141433687
chronos-tiny,synth_GARCH_L3,400,2.0122105250278315,2.0276960034287566,0.8175,0.08250000000000002,0.455,10.040944592475892,10.393524715143544,2.669602984901353,2.706078297885988,0.11249967758996549,7.263394680359217e-05
chronos-tiny,synth_GARCH_L4,400,1.8892095606682415,1.8981955227114695,0.8375,0.0625,0.49,9.660034074306486,10.156398292088332,2.611293020683738,2.6342827998552156,0.07749925476287811,0.0154945796722362
chronos-tiny,synth_GARCH_L5,400,1.6804433391490243,1.5864018132285786,0.895,0.0050000000000000044,0.4225,10.017494187355041,9.188601628781534,2.437062553045694,2.293192671371228,0.062499004854386975,0.08420434452376246
chronos-tiny,synth_REGIME_L1,400,2.295301393662894,3.2839357710622425,0.845,0.05500000000000005,0.4675,10.897380434989927,15.278518588729305,3.0469654441517493,4.451276367508723,0.09749926475295731,0.0009221396189092912
