Market Panel,Model,nCRPS (%),nCRPS Skill vs RW,Raw CRPS,Raw Skill vs RW,90% Coverage,MAPE (%),PIT KS,Stratified DM (p),Window-Block DM (p)
Panel A: 미국 S&P 500 5대 대형주,chronos-tiny,4.705%,+0.72%,18.93,-1.11%,68.4%,6.48%,0.1980,-0.243 (0.4040),-0.248 (0.4032)
Panel A: 미국 S&P 500 5대 대형주,chronos-base,4.497%,+5.10%,17.80,+4.92%,72.8%,6.27%,0.1640,-2.102 (0.0178),-2.144 (0.0212)
Panel A: 미국 S&P 500 5대 대형주,moirai-small,4.330%,+8.62%,17.22,+7.99%,80.0%,6.08%,0.1640,-2.064 (0.0195),-2.105 (0.0230)
Panel A: 미국 S&P 500 5대 대형주,moirai-base,4.645%,+1.98%,18.33,+2.09%,69.6%,6.48%,0.1740,-0.732 (0.2321),-0.746 (0.2313)
Panel A: 미국 S&P 500 5대 대형주,garch_t,4.645%,+1.98%,18.50,+1.18%,72.0%,6.51%,0.1960,-0.648 (0.2584),-0.661 (0.2574)
Panel A: 미국 S&P 500 5대 대형주,random_walk,4.739%,+0.00%,18.72,+0.00%,64.4%,6.49%,0.1800,+0.000 (0.5000),+0.000 (0.5000)
Panel B: 한국 KOSPI 200 ETF,chronos-tiny,7.171%,+8.59%,8198.55,+9.03%,61.0%,8.86%,0.1700,-1.809 (0.0352),-2.010 (0.0574)
Panel B: 한국 KOSPI 200 ETF,chronos-base,7.962%,-1.49%,9121.04,-1.21%,65.0%,10.53%,0.1600,+0.143 (0.5567),+0.158 (0.5591)
Panel B: 한국 KOSPI 200 ETF,moirai-small,7.122%,+9.21%,8137.31,+9.71%,72.0%,9.38%,0.1300,-0.787 (0.2156),-0.875 (0.2156)
Panel B: 한국 KOSPI 200 ETF,moirai-base,7.793%,+0.66%,8900.38,+1.24%,67.0%,10.24%,0.1600,-0.122 (0.4514),-0.136 (0.4493)
Panel B: 한국 KOSPI 200 ETF,garch_t,7.322%,+6.66%,8463.88,+6.08%,74.0%,10.25%,0.1600,-0.657 (0.2555),-0.730 (0.2529)
Panel B: 한국 KOSPI 200 ETF,random_walk,7.845%,+0.00%,9011.98,+0.00%,49.0%,9.35%,0.2300,+0.000 (0.5000),+0.000 (0.5000)
Panel C: 전체 6개 자산 스케일 정규화 통합,chronos-tiny,5.116%,+2.68%,1382.20,+8.92%,67.2%,6.87%,0.1817,-1.044 (0.1482),-1.061 (0.1487)
Panel C: 전체 6개 자산 스케일 정규화 통합,chronos-base,5.075%,+3.46%,1535.01,-1.15%,71.5%,6.98%,0.1600,-1.211 (0.1130),-1.230 (0.1143)
Panel C: 전체 6개 자산 스케일 정규화 통합,moirai-small,4.795%,+8.77%,1370.57,+9.69%,78.7%,6.63%,0.1333,-2.209 (0.0136),-2.245 (0.0163)
Panel C: 전체 6개 자산 스케일 정규화 통합,moirai-base,5.170%,+1.65%,1498.67,+1.25%,69.2%,7.11%,0.1567,-0.716 (0.2369),-0.728 (0.2362)
Panel C: 전체 6개 자산 스케일 정규화 통합,garch_t,5.091%,+3.14%,1426.06,+6.03%,72.3%,7.13%,0.1750,-0.998 (0.1590),-1.015 (0.1593)
Panel C: 전체 6개 자산 스케일 정규화 통합,random_walk,5.257%,+0.00%,1517.60,+0.00%,61.8%,6.96%,0.1783,+0.000 (0.5000),+0.000 (0.5000)
