Asset,Currency,Model,Raw CRPS,nCRPS (%),Skill vs RW (%),90% Coverage (%),Within-Asset DM Stat,Within-Asset DM p
AAPL,USD,chronos-tiny,16.49,5.293%,+0.61%,61.0%,-0.095,0.4623
AAPL,USD,chronos-base,15.55,4.996%,+6.19%,60.0%,-1.028,0.1521
AAPL,USD,moirai-small,13.50,4.344%,+18.44%,75.0%,-1.706,0.0440
AAPL,USD,moirai-base,15.78,5.084%,+4.53%,52.0%,-0.767,0.2216
AAPL,USD,garch_t,15.41,4.946%,+7.12%,63.0%,-1.172,0.1207
AAPL,USD,random_walk,16.54,5.325%,+0.00%,45.0%,+0.000,0.5000
AMZN,USD,chronos-tiny,12.44,4.866%,+6.26%,65.0%,-0.757,0.2245
AMZN,USD,chronos-base,12.78,5.037%,+2.97%,71.0%,-0.671,0.2512
AMZN,USD,moirai-small,11.80,4.615%,+11.09%,86.0%,-1.095,0.1367
AMZN,USD,moirai-base,13.48,5.295%,-2.01%,71.0%,+0.618,0.7316
AMZN,USD,garch_t,12.81,5.026%,+3.18%,73.0%,-0.639,0.2614
AMZN,USD,random_walk,13.18,5.191%,+0.00%,67.0%,+0.000,0.5000
GOOG,USD,chronos-tiny,16.30,4.480%,+5.27%,69.0%,-0.572,0.2838
GOOG,USD,chronos-base,15.01,4.119%,+12.91%,77.0%,-1.558,0.0596
GOOG,USD,moirai-small,16.99,4.655%,+1.58%,71.0%,-0.121,0.4517
GOOG,USD,moirai-base,16.25,4.455%,+5.80%,68.0%,-0.542,0.2938
GOOG,USD,garch_t,16.40,4.503%,+4.79%,77.0%,-0.389,0.3488
GOOG,USD,random_walk,17.21,4.730%,+0.00%,50.0%,+0.000,0.5000
JPM,USD,chronos-tiny,6.65,2.001%,-0.64%,86.0%,+0.105,0.5419
JPM,USD,chronos-base,6.97,2.108%,-6.01%,90.0%,+0.702,0.7585
JPM,USD,moirai-small,7.13,2.148%,-8.03%,91.0%,+0.877,0.8096
JPM,USD,moirai-base,6.71,2.014%,-1.31%,90.0%,+0.117,0.5468
JPM,USD,garch_t,7.56,2.275%,-14.43%,85.0%,+1.066,0.8568
JPM,USD,random_walk,6.58,1.988%,+0.00%,92.0%,+0.000,0.5000
META,USD,chronos-tiny,42.76,6.883%,-6.56%,61.0%,+1.427,0.9232
META,USD,chronos-base,38.68,6.227%,+3.60%,66.0%,-1.101,0.1354
META,USD,moirai-small,36.69,5.889%,+8.84%,77.0%,-1.613,0.0534
META,USD,moirai-base,39.42,6.376%,+1.30%,67.0%,-0.242,0.4042
META,USD,garch_t,40.33,6.476%,-0.24%,62.0%,+0.056,0.5225
META,USD,random_walk,40.09,6.460%,+0.00%,68.0%,+0.000,0.5000
069500,KRW,chronos-tiny,8198.55,7.171%,+8.59%,61.0%,-1.809,0.0352
069500,KRW,chronos-base,9121.04,7.962%,-1.49%,65.0%,+0.143,0.5567
069500,KRW,moirai-small,8137.31,7.122%,+9.21%,72.0%,-0.787,0.2156
069500,KRW,moirai-base,8900.38,7.793%,+0.66%,67.0%,-0.122,0.4514
069500,KRW,garch_t,8463.88,7.322%,+6.66%,74.0%,-0.657,0.2555
069500,KRW,random_walk,9011.98,7.845%,+0.00%,49.0%,+0.000,0.5000
