hypothesis,axis,description,model,rho_crps_n5,p_crps_n5,rho_cov_n5,p_cov_n5,rho_crps_N100,p_crps_N100,rho_cov_N100,p_cov_N100,rho_crps_N2000,p_crps_N2000,l1_mean_crps,l5_mean_crps,mw_u_pval_L1_vs_L5
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),chronos-tiny,-0.8999999999999998,0.03738607346849875,0.9999999999999999,1.4042654220543608e-24,-0.06491472400110172,0.5210919235337268,0.1309332535207236,0.1941263151071922,-0.06072040882390378,0.006601445332385437,2.058784402003002,1.6804433391490243,0.6948910198677665
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),chronos-base,-0.8999999999999998,0.03738607346849875,0.8999999999999998,0.03738607346849875,-0.06319999544258206,0.5321816948947852,0.03894844282838542,0.7004347362129847,-0.048855691399207986,0.0289011899062919,2.0121405230537133,1.681897928432806,0.6359445511344555
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),moirai-small,-0.39999999999999997,0.5046315754686912,0.09999999999999999,0.8728885715695384,-0.04409302007622005,0.6631280057794643,0.053491144896446415,0.5971072847682336,-0.02757758371632259,0.21766141994734828,1.929747028863068,1.6505618302224168,0.6553614390103917
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),moirai-base,-0.7,0.1881204043741873,0.3,0.623837664781073,-0.09161549726947942,0.36464742879602763,0.1452782586939876,0.14925137582146694,-0.06141300213524989,0.006007910798282088,1.941579320363174,1.6379261109956638,0.507505297961912
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),garch_t,-0.8999999999999998,0.03738607346849875,0.8999999999999998,0.03738607346849875,-0.07691782391073941,0.4468747461420108,-0.014575319545039725,0.8855570517479437,-0.058718563081383485,0.008624298098899696,1.9958014736615048,1.6523254534196987,0.507505297961912
H1,GARCH,변동성 군집 지속성 (alpha+beta: 0.30 -> 0.98),random_walk,-0.6,0.28475697986529386,0.9999999999999999,1.4042654220543608e-24,-0.05413643020469239,0.5926840491302248,0.12375262281261999,0.21993948355718265,-0.03400075899723273,0.12849865469161967,2.0006453125781585,1.7508097594164536,0.6948910198677665
H2,TAIL,두꺼운 꼬리 극단치 (자유도 nu: 30 -> 3),chronos-tiny,0.49999999999999994,0.3910022189557703,-0.39999999999999997,0.5046315754686912,-0.06760929745020407,0.5039050001380496,-0.08165116576700088,0.4193233144880621,-0.049268430472459344,0.027572781655081983,1.8870514959568396,2.4444288062960453,0.6359445511344555
H2,TAIL,두꺼운 꼬리 극단치 (자유도 nu: 30 -> 3),chronos-base,0.09999999999999999,0.8728885715695384,-0.3,0.623837664781073,-0.11219223997171546,0.26642636583866747,-0.03416248569738122,0.7357940507102216,-0.08139349246469373,0.00026864337159060697,1.9850237534976525,2.3658634272507437,0.25029679750351186
H2,TAIL,두꺼운 꼬리 극단치 (자유도 nu: 30 -> 3),moirai-small,0.09999999999999999,0.8728885715695384,-0.41039134083406165,0.49253578170279755,-0.11831627053785711,0.24103220151731214,-0.03156651421513141,0.7552121648067526,-0.0668251503984479,0.0027899047214182578,2.0335829986758016,2.3644193792233485,0.2616164678785774
H2,TAIL,두꺼운 꼬리 극단치 (자유도 nu: 30 -> 3),moirai-base,0.3,0.623837664781073,-0.09999999999999999,0.8728885715695384,-0.13374882756453413,0.1846271763531821,0.029920682845005063,0.7676033781474542,-0.07114850033487898,0.0014530325167795932,2.028705112438291,2.2940788904434317,0.23932370336933684
